study_id,hypothesis_id,seed,x,value,series
1,H5,1038,1.0,0.9922537803649902,bias_score
1,H6,1038,T0,0.9928282499313354,bias
1,H6,1038,T1,0.9925645589828491,bias
1,H6,1038,T2,0.9888051152229309,bias
1,H5,1039,0,0.9888501763343811,bias_score
1,H5,1039,0.2,0.9893071055412292,bias_score
1,H5,1039,0.4,0.990406334400177,bias_score
1,H5,1039,0.6,0.9910832643508911,bias_score
1,H5,1039,0.8,0.9900904893875122,bias_score
1,H5,1039,1.0,0.993003249168396,bias_score
1,H6,1039,T0,0.9913444519042969,bias
1,H6,1039,T1,0.9911564588546753,bias
1,H6,1039,T2,0.9911717176437378,bias
1,H5,1040,0,0.9871596693992615,bias_score
1,H5,1040,0.2,0.9884667992591858,bias_score
1,H5,1040,0.4,0.9893001914024353,bias_score
1,H5,1040,0.6,0.9887203574180603,bias_score
1,H5,1040,0.8,0.9933875203132629,bias_score
1,H5,1040,1.0,0.9912107586860657,bias_score
1,H6,1040,T0,0.9914056658744812,bias
1,H6,1040,T1,0.9894819259643555,bias
1,H6,1040,T2,0.9889906644821167,bias
1,H5,1041,0,0.9867706894874573,bias_score
1,H5,1041,0.2,0.9875491857528687,bias_score
1,H5,1041,0.4,0.9893606305122375,bias_score
1,H5,1041,0.6,0.9865837693214417,bias_score
1,H5,1041,0.8,0.9880083203315735,bias_score
1,H5,1041,1.0,0.98687344789505,bias_score
1,H6,1041,T0,0.989193320274353,bias
1,H6,1041,T1,0.9859336018562317,bias
1,H6,1041,T2,0.9885305166244507,bias
1,H5,1042,0,0.9903265237808228,bias_score
1,H5,1042,0.2,0.9886301755905151,bias_score
1,H5,1042,0.4,0.9865466952323914,bias_score
1,H5,1042,0.6,0.9867775440216064,bias_score
1,H5,1042,0.8,0.9903300404548645,bias_score
1,H5,1042,1.0,0.9863810539245605,bias_score
1,H6,1042,T0,0.990559458732605,bias
1,H6,1042,T1,0.98982173204422,bias
1,H6,1042,T2,0.9899564981460571,bias
1,H5,1043,0,0.9874384999275208,bias_score
1,H5,1043,0.2,0.9864751100540161,bias_score
1,H5,1043,0.4,0.984413206577301,bias_score
1,H5,1043,0.6,0.988524854183197,bias_score
1,H5,1043,0.8,0.9895468354225159,bias_score
1,H5,1043,1.0,0.9912235736846924,bias_score
1,H6,1043,T0,0.9866825342178345,bias
1,H6,1043,T1,0.98907470703125,bias
1,H6,1043,T2,0.9881805181503296,bias
1,H5,1044,0,0.9866238832473755,bias_score
1,H5,1044,0.2,0.9879696369171143,bias_score
1,H5,1044,0.4,0.9916121363639832,bias_score
1,H5,1044,0.6,0.9910272359848022,bias_score
1,H5,1044,0.8,0.9889340400695801,bias_score
1,H5,1044,1.0,0.9921861290931702,bias_score
1,H6,1044,T0,0.9892154932022095,bias
1,H6,1044,T1,0.9911811947822571,bias
1,H6,1044,T2,0.9895176887512207,bias
1,H5,1045,0,0.9889113903045654,bias_score
1,H5,1045,0.2,0.9897680878639221,bias_score
1,H5,1045,0.4,0.9907083511352539,bias_score
1,H5,1045,0.6,0.9908967614173889,bias_score
1,H5,1045,0.8,0.9849916100502014,bias_score
1,H5,1045,1.0,0.986583948135376,bias_score
1,H6,1045,T0,0.9885948300361633,bias
1,H6,1045,T1,0.9888561964035034,bias
1,H6,1045,T2,0.9893571138381958,bias
1,H5,1046,0,0.9860697984695435,bias_score
1,H5,1046,0.2,0.9869759678840637,bias_score
1,H5,1046,0.4,0.989445686340332,bias_score
1,H5,1046,0.6,0.9868478178977966,bias_score
1,H5,1046,0.8,0.9867392182350159,bias_score
1,H5,1046,1.0,0.9871878623962402,bias_score
1,H6,1046,T0,0.9868465662002563,bias
1,H6,1046,T1,0.9872280359268188,bias
1,H6,1046,T2,0.9884430170059204,bias
1,H5,1047,0,0.9900496006011963,bias_score
1,H5,1047,0.2,0.9891078472137451,bias_score
1,H5,1047,0.4,0.9876821637153625,bias_score
1,H5,1047,0.6,0.9877943396568298,bias_score
1,H5,1047,0.8,0.9869562387466431,bias_score
1,H5,1047,1.0,0.9880018830299377,bias_score
1,H6,1047,T0,0.9875026941299438,bias
